"id","filename","section","field","ftext"
1080713329,"10Aug2000_02.prn","2","wind10M","E-SE 18-22 GRADUALLY BACKING/EASING NNE 15-20"
1080713330,"10Aug2000_02.prn","2","wind50M","E-SE 22-28 GRADUALLY BACKING/EASING NNE 18-25"
1080713331,"10Aug2000_02.prn","2","waveSigHeight","AROUND 2.0 GRADUALLY FALLING 1.5-2.0"
1080713332,"10Aug2000_02.prn","2","waveMaxHeight","AROUND 3.0 GRADUALLY FALLING 2.5-3.0"
1080713333,"10Aug2000_02.prn","2","wavePeriod","4-6"
1080713334,"10Aug2000_02.prn","2","weather","OVERCAST/MISTY WITH FOG PATCHES. RAIN/DRIZZLE AT TIMES"
1080713335,"10Aug2000_02.prn","2","visibility","3-5 BECOMING 1-3 IN RAIN/MIST, LOWERING LESS THAN 0.5 IN ANY FOG PATCHES"
1080713336,"10Aug2000_02.prn","2","temperature","PS 12-15"
1080713337,"10Aug2000_02.prn","2","cloud","8 SC 1500-3000 BECOMING 6-8 ST 200-600 IN MIST AND PRECIPITATION, LOWERING SURFACE IN FOG"
1080713338,"10Aug2000_02.prn","2","lightning","NIL"
1080713339,"10Aug2000_02.prn","3","wind10M","NNE 15-20 BACKING NW 06-10 BY MIDDAY, THEN W-SW LESS THAN 08 BY MIDNIGHT"
1080713340,"10Aug2000_02.prn","3","wind50M","NNE 18-25 BACKING NW 07-12 BY MIDDAY, THEN W-SW LESS THAN 10 BY MIDNIGHT"
1080713341,"10Aug2000_02.prn","3","waveSigHeight","1.5-2.0 FALLING AROUND 1.0 BY EVENING"
1080713342,"10Aug2000_02.prn","3","waveMaxHeight","2.5-3.0 FALLING AROUND 1.5 BY EVENING"
1080713343,"10Aug2000_02.prn","3","weather","RAIN/DRIZZLE/MIST AND FOG PATCHES CLEARING TO BECOME PARTLY CLOUDY"
1080713344,"10Aug2000_02.prn","3","visibility","MODERATE/POOR IMPROVING GOOD"
1080713345,"10Aug2000_02.prn","4","wind10M","W-SW LESS THAN 08 BACKING SSE 06-10 BY AFTERNOON"
1080713346,"10Aug2000_02.prn","4","wind50M","W-SW LESS THAN 10 BACKING SSE 07-12 BY AFTERNOON"
1080713347,"10Aug2000_02.prn","4","waveSigHeight","AROUND 1.0 FALLING 0.5-1.0 BY EVENING"
1080713348,"10Aug2000_02.prn","4","waveMaxHeight","AROUND 1.5 FALLING 1.0-1.5 BY EVENING"
1080713349,"10Aug2000_02.prn","4","weather","PARTLY CLOUDY, OCCASIONALLY CLOUDY LATER"
1080713350,"10Aug2000_02.prn","5","wind10M","SSE 06-10 FRESHENING 10-14 BY SUNDAY AFTERNOON, DECREASING 08-12 LATE SUNDAY, BACKING AND GRADUALLY FRESHENING E-SE 14-18 DURING MONDAY"
1080713351,"10Aug2000_02.prn","5","waveSigHeight","0.5-1.0 RISING 1.0-1.5 BY SUNDAY AFTERNOON, AND MAINLY AROUND 1.5 MONDAY EVENING"
1080713352,"10Aug2000_13.prn","2","wind10M","SE-E 12-18 EASING AND BACKING NE-N  8 OR LESS"
1080713353,"10Aug2000_13.prn","2","wind50M","SE-E 15-22 EASING AND BACKING NE-N 10 OR LESS"
1080713354,"10Aug2000_13.prn","2","waveSigHeight","AROUND 1.5 FALLING 1.0-1.5"
1080713355,"10Aug2000_13.prn","2","waveMaxHeight","AROUND 2.5 FALLING 1.5-2.5"
1080713356,"10Aug2000_13.prn","2","wavePeriod","5-8"
1080713357,"10Aug2000_13.prn","2","weather","CLOUDY TO OVERCAST AND MISTY WITH RAIN/DRIZZLE AND FOG PATCHES"
1080713358,"10Aug2000_13.prn","2","visibility","3-5 REDUCED TO 1-3 AT TIMES AND 400 YARDS IN FOG"
1080713359,"10Aug2000_13.prn","2","temperature","11-13"
