"filename","author","forecasttime","ftype","section1"
"10Apr2001_02.prn","F3",10/4/2001 04:00:00,"normal","1.INFERENCE 0300 GMT, TUESDAY,          10-Apr   2001 LOW (1004 MB),FIRTH OF FORTH,WILL DRIFT SE,FILLING SLOWLY,EXPECTED TO REACH CENTRAL GERMANY BY WEDNESDAY MORNING.A RIDGE OF HIGH PRESSURE WILL MOVE EAST TO COVER THE EAST SHETLAND BASIN/NORTH SEA LATER THURSDAY."
"10Apr2001_14.prn",,,"empty",
"10Apr2002_05.prn","F3",10/4/2002 04:00:00,"normal","1.INFERENCE 0300 GMT, WEDNESDAY,        10-Apr   2002 LOW (988 MB),NORTH OF JAN MAYEN,WILL MOVE NE AND DEEPEN. THE ASSOCIATED FRONTAL SYSTEM NOW LYING JUST EAST OF THE FAEROES TO THE WEST OF THE HEBRIDES WILL MOVE SOUTHEAST AND WEAKEN AS IT RUNS INTO THE RIDGE OF HIGH PRESSURE LYING FROM SOUTHERN SCANDINAVIA TO EIRE. A WEAK FRONTAL WAVE LOW WILL MOVE NE FROM THE CENTRAL ATLANTIC,EXPECTED ORKNEY (1010 MB) BY MIDDAY THURSDAY REACHING HALTENBANK (1008 MB) BY MIDDAY FRIDAY."
"10Apr2002_14.prn","F4",10/4/2002 13:00:00,"normal","1.INFERENCE 1200 GMT, WEDNESDAY,        10-Apr   2002 RIDGE OF HIGH PRESSURE, FROM SOUTHERN NORWAY THROUGH THE CENTRAL NORTH SEA TO CENTRAL IRELAND, WILL GRADUALLY DECLINE BY FRIDAY AFTERNOON. FRONTAL TROUGH, FROM CENTRAL NORWAY THROUGH THE EAST SHETLAND BASIN TO A DEVELOPING WAVE LOW JUST WEST OF THE HEBRIDES WILL REMAIN SLOW MOVING. THIS WAVE LOW WILL MOVE NE'WARDS ALONG THE FRONT TO CROSS SHETLAND AROUND MIDDAY TOMORROW, THEN MOVE TO THE HALTENBANK BY EARLY FRIDAY. ASSOCIATED COLD FRONT WILL MOVE SE ACROSS SCOTLAND AND THE NORTH SEA DURING THURSDAY AFTERNOON AND FRIDAY. -"
"10Aug2000_02.prn","F4",10/8/2000 04:00:00,"normal","1.INFERENCE 0300 GMT, THURSDAY,         10-Aug   2000 LOW 1005MB, NORTHERN SCOTLAND WILL DRIFT SLOWLY ESE TO THE SKAGERRAK BY EARLY FRIDAY. ASSOCIATED FRONTAL TROUGHS WILL MOVE SOUTHEAST ACROSS THE NORTH SEA TODAY, THEN INTO DENMARK BY TONIGHT. HOWEVER, ASSOCIATED OCCLUDED FRONT, WILL BECOME SLOW MOVING FROM THE EAST SHETLAND BASIN TO SOUTHERN NORWAY BY THIS EVENING, GRADUALLY WEAKENING AND DISSIPATING DURING TOMORROW. A RIDGE OF HIGH PRESSURE WILL BUILD FROM ICELAND TO SOUTHWEST ENGLAND BY MIDNIGHT, THEN MOVE EAST INTO THE NORTH SEA BY SATURDAY AFTERNOON. -"
"10Aug2000_13.prn","F2",10/8/2000 13:00:00,"normal","1.INFERENCE 1200 GMT, THURSDAY,         10-Aug   2000 SHALLOW DEPRESSION 1007MB OVER THE EAST SHETLAND BASIN WILL DRIFT VERY SLOWLY EASTWARDS. HIGH PRESSURE BUILDING OVER THE BRITISH ISLES WILL MOVE GRADUALLY EASTWARDS OVER THE NORTH SEA ON SATURDAY. A SLOW MOVING DEPRESSION SW OF ICELAND WILL GRADUALLY FILL WHILE ITS ASSOCIATED FRONTAL TROUGH MOVES EAST TO BECOME SLOW MOVING OVER WESTERN BRITAIN ON SUNDAY"
"10Aug2001_13.prn","F4",10/8/2001 13:00:00,"normal","1.INFERENCE 1200 GMT, FRIDAY,           10-Aug   2001 LOW 1002MB, OVER THE NORWEGIAN SEA WILL MOVE AWAY NORTHWARDS DURING TONIGHT. A RIDGE OF HIGH PRESSURE WILL MOVE EAST, TO BE LYING FROM CENTRAL NORWAY TO THE NETHERLANDS BY TOMORROW AFTERNOON. THIS RIDGE WILL THEN DECLINE AS A DEVELOPING ATLANTIC LOW MOVES TO NEAR FAEROES BY SUNDAY WITH ASSOCIATED FRONTAL TROUGHS MOVING EAST ACROSS THE BRITISH ISLES AND NORTH SEA DURING SATURDAY AND SUNDAY."
"10Dec2001_02.prn","F3",10/12/2001 03:00:00,"normal","1.INFERENCE 0300 GMT, MONDAY,           10-Dec   2001 HIGH (1042 MB),NOW OVER THE CENTRAL NORTH SEA WITH A RIDGE TO SW NORWAY,WILL BUILD SLIGHTLY TODAY THEN DRIFT WNW TO LIE OVER CENTRAL SCOTLAND BY LATE TUESDAY EVENING BEFORE DRIFTING NORTH TO LIE OVER SHETLAND BY MIDDAY FRIDAY."
"10Dec2001_13.prn","F2",10/12/2001 12:00:00,"normal","1.INFERENCE 1200 GMT, MONDAY,           10-Dec   2001 HIGH 1042MB OVER THE CENTRAL NORTH SEA WILL DRIFT SLOWLY WESTWARDS THEN NORTHWARDS TO BE 1041MB OVER NE SCOTLAND BY THURSDAY. ATLANTIC FRONTS WILL REMAIN BLOCKED WELL WEST OF THE BRITISH ISLES WITH A SERIES OF DEPRESSIONS MOVING NORTH THEN NORTHEAST TO THE GREENLAND SEA VIA THE DENMARK STRAIT."
"10Feb2002_04.prn","F4",10/2/2002 03:00:00,"normal","1.INFERENCE 0300 GMT, SUNDAY,           10-Feb   2002 LOW 968MB, OVER THE NORWEGIAN SEA WILL DRIFT NE INTO THE NORTHERN NORWEGIAN SEA BY TUESDAY. A FRONTAL TROUGH, NEAR FAEROES WILL MOVE SOUTHEAST TO CROSS THE EAST SHETLAND BASIN BY AFTERNOON, THEN WEAKEN AS IT MOVES INTO NORTHERN SCOTLAND AND SOUTHERN NORWAY THIS EVENING. A SHALLOW ATLANTIC LOW WILL MOVE EAST ACROSS SCOTLAND EARLY MONDAY, THEN INTO THE SOUTHERN BALTIC BY TUESDAY, WITH A SECOND LOW EXPECTED TO CROSS THE NORTH SEA DURING EARLY TUESDAY. -"
"10Feb2002_13.prn","F1",10/2/2002 12:00:00,"normal","1.INFERENCE 1200 GMT, SUNDAY,           10-Feb   2002 LOW AROUND  65N 08E  WILL MOVE VERY SLOWLY EAST AND WILL WEAKEN. A RIDGE OVER THE BRITISH ISLES WILL MOVE NE ACROSS THE NORTHERN NORTH SEA TONIGHT. A FRONTAL WAVE WILL MOVE EAST ACROSS THE CENTRAL NORTH SEA TOMORROW, FROM THE MORAY FIRTH IN THE MORNING TO SOUTHERN SWEDEN BY THE EVENING. THE TRAILING OCCLUDED FRONT WILL MOVE SOUTH TO THE CENTRAL NORTH SEA BY LATER TOMORROW AND WILL THEN DRIFT SLOWLY NORTH DURING TUESDAY. A LOW WILL MOVE SLOWLY EAST TO BE OVER SCOTLAND BY LATER TUESDAY.  -"
"10Jan2001_02.prn","F3",10/1/2001 03:00:00,"normal","1.INFERENCE 0300 GMT, WEDNESDAY,        10-Jan   2001 THE COMPLEX LOW PRESSURE AREA OVER THE BALTIC SEA WILL CONTINUE TO DRIFT EAST.THE COMPLEX LOW PRESSURE AREA OVER BISCAY AND FINISTERRE WILL REMAIN SLOW MOVING TODAY,FILLING,THEN DRIFTING SOUTH AND SOUTHEAST TO LIE OVER SPAIN ON FRIDAY.HIGH (1024 MB),ICELAND, WILL BUILD AND DRIFT SOUTHEAST,EXPECTED (1034 MB) OVER THE NORTHERN NORTH SEA BY MIDDAY FRIDAY."
"10Jan2001_12.prn","F4",10/1/2001 12:00:00,"normal","1.INFERENCE 1200 GMT, WEDNESDAY,        10-Jan   2001 HIGH 1027MB, CENTRED JUST TO THE SOUTHWEST OF FAEROES, WILL DRIFT SOUTHEAST INTO THE NORTHERN NORTH SEA BY FRIDAY AFTERNOON."
"10Jan2002_03.prn","F4",10/1/2002 03:00:00,"normal","1.INFERENCE 0300 GMT, THURSDAY,         10-Jan   2002 PRESSURE WILL REMAIN HIGH OVER THE CONTINENT, AND LOW OVER THE DENMARK STRAIT AND ICELAND. A WARM FRONT WILL MOVE ENE ACROSS THE NORTH SEA EARLY ON SATURDAY, THEN INTO DENMARK BY SATURDAY EVENING. AN ATLANTIC FRONTAL TROUGH, WILL MOVE SLOWLY EAST TO BE LYING FROM THE NORWEGIAN SEA TO NW SCOTLAND BY SATURDAY. -"
