"filename","starttime","forecasttime","ftype"
"10Apr2001_09.mmo",10/4/2001 02:00:00,10/4/2001 04:00:00,"normal"
"10Apr2001_21.mmo",10/4/2001 13:00:00,10/4/2001 13:00:00,"normal"
"10Apr2002_09.mmo",10/4/2002 02:00:00,10/4/2002 04:00:00,"normal"
"10Apr2002_21.mmo",10/4/2002 13:00:00,10/4/2002 13:00:00,"normal"
"10Aug2000_10.mmo",10/8/2000 02:00:00,10/8/2000 04:00:00,"normal"
"10Aug2000_23.mmo",10/8/2000 13:00:00,10/8/2000 13:00:00,"normal"
"10Aug2001_08.mmo",10/8/2001 02:00:00,10/8/2001 04:00:00,"normal"
"10Aug2001_21.mmo",10/8/2001 13:00:00,10/8/2001 13:00:00,"normal"
"10Dec2001_08.mmo",10/12/2001 01:00:00,10/12/2001 03:00:00,"normal"
"10Dec2001_21.mmo",10/12/2001 12:00:00,10/12/2001 12:00:00,"normal"
"10Feb2001_10.mmo",10/2/2001 01:00:00,10/2/2001 03:00:00,"normal"
"10Feb2001_22.mmo",10/2/2001 12:00:00,10/2/2001 12:00:00,"normal"
"10Feb2002_08.mmo",10/2/2002 01:00:00,10/2/2002 03:00:00,"normal"
"10Feb2002_21.mmo",10/2/2002 12:00:00,10/2/2002 12:00:00,"normal"
"10Jan2001_09.mmo",10/1/2001 01:00:00,10/1/2001 03:00:00,"normal"
"10Jan2001_21.mmo",10/1/2001 12:00:00,10/1/2001 12:00:00,"normal"
"10Jan2002_08.mmo",10/1/2002 01:00:00,10/1/2002 03:00:00,"normal"
"10Jan2002_21.mmo",10/1/2002 12:00:00,10/1/2002 12:00:00,"normal"
"10Jul2000.mmo",9/7/2000 13:00:00,9/7/2000 13:00:00,"normal"
"10Jul2001_09.mmo",10/7/2001 02:00:00,10/7/2001 04:00:00,"normal"
"10Jul2001_21.mmo",10/7/2001 13:00:00,10/7/2001 13:00:00,"normal"
"10Jun2000.mmo",10/6/2000 13:00:00,10/6/2000 13:00:00,"normal"
"10Mar2001_09.mmo",10/3/2001 01:00:00,10/3/2001 03:00:00,"normal"
"10Mar2001_21.mmo",10/3/2001 12:00:00,10/3/2001 12:00:00,"normal"
"10Mar2002_08.mmo",10/3/2002 01:00:00,10/3/2002 03:00:00,"normal"
"10Mar2002_21.mmo",10/3/2002 12:00:00,10/3/2002 12:00:00,"normal"
"10May2001_10.mmo",10/5/2001 02:00:00,10/5/2001 04:00:00,"normal"
"10May2001_21.mmo",10/5/2001 13:00:00,10/5/2001 13:00:00,"normal"
"10May2002_09.mmo",10/5/2002 02:00:00,10/5/2002 04:00:00,"normal"
"10Nov2000_09.mmo",10/11/2000 01:00:00,10/11/2000 03:00:00,"normal"
"10Nov2000_21.mmo",10/11/2000 12:00:00,10/11/2000 12:00:00,"normal"
