"Forecast","Section","Field","Index","TTime","Direction","LowSpeed","HighSpeed","Mainly","Occasionally","ForaTime","Gusts","Showers","ChangeAdv","ChangeVerb","EllidedVerb","TimePhrase","Connective","StartPos","GustSpeed"
"10Apr2001_02.prn","2","wind10M",0,6,78.75,12,16,0,0,0,0,0,,,0,,,0,
"10Apr2001_02.prn","2","wind10M",1,24,33.75,18,22,0,0,0,1,0,,"backing",0,,,4,30
"10Apr2001_02.prn","3","wind10M",0,0,22.50,18,22,0,0,0,1,0,,,0,,,0,30
"10Apr2001_02.prn","3","wind10M",1,15,315.00,8,12,0,0,0,0,0,,"backing",0,"by mid afternoon",,5,
"10Apr2001_02.prn","3","wind10M",2,24,22.50,20,24,0,0,0,1,0,,"veering and increasing",0,"by late evening","then",12,34
"10Apr2001_02.prn","4","wind10M",0,0,22.50,22,26,0,0,0,1,0,,,0,,,0,36
"10Apr2001_02.prn","4","wind10M",1,3,22.50,22,26,0,0,0,1,0,,,0,"soon",,1,36
"10Apr2001_02.prn","4","wind10M",2,24,45.00,10,14,0,0,0,0,0,"gradually","decreasing",0,"by late evening","then",6,
"10Apr2002_05.prn","2","wind10M",0,6,202.50,26,30,0,0,0,1,0,,,0,,,0,38
"10Apr2002_05.prn","2","wind10M",1,24,225.00,8,12,0,0,0,0,0,"gradually","veering",0,"by late evening",,5,
"10Apr2002_05.prn","3","wind10M",0,0,225.00,8,12,0,0,0,0,0,,,0,,,0,
"10Apr2002_05.prn","3","wind10M",1,3,180.00,6,10,0,0,0,0,0,,,0,"soon",,3,
"10Apr2002_05.prn","3","wind10M",2,18,213.75,16,20,0,0,0,0,0,,"veering",0,"by evening","then",7,
"10Apr2002_05.prn","4","wind10M",0,3,270.00,10,14,0,0,0,0,0,,,0,"soon",,0,
"10Apr2002_05.prn","4","wind10M",1,15,0.00,22,26,0,0,0,1,0,,"veering",0,"by mid afternoon","then",4,34
"10Apr2002_05.prn","4","wind10M",2,24,0.00,14,18,0,0,0,0,0,,"easing",0,"late evening",",",14,
"10Apr2002_14.prn","2","wind10M",0,15,225.00,20,25,0,0,0,0,0,,,0,,,0,
