"filename","ftime","timetext","winddir","windspeed","gust10m","gust50m","sigwave","waveperiod","swelldir","swellheight","swellperiod"
"10Apr2001_02.tab",10/4/2001 07:00:00,"10/06","NE",14,17,21,2.00,3.20,"NE",1.60,9
"10Apr2001_02.tab",10/4/2001 10:00:00,"10/09","NE",18,22,27,2.20,3.50,"NE",1.70,9
"10Apr2001_02.tab",10/4/2001 13:00:00,"10/12","NE",20,25,31,2.30,3.70,"NE",1.80,9
"10Apr2001_02.tab",10/4/2001 16:00:00,"10/15","NE",20,25,31,2.30,3.70,"NNE",1.80,9
"10Apr2001_02.tab",10/4/2001 19:00:00,"10/18","NNE",20,25,31,2.30,3.70,"N",1.80,9
"10Apr2001_02.tab",10/4/2001 22:00:00,"10/21","NNE",20,25,31,2.40,3.80,"N",1.80,9
"10Apr2001_02.tab",11/4/2001 01:00:00,"11/00","NNE",20,25,31,2.50,4.00,"NNW",1.80,9
"10Apr2001_02.tab",11/4/2001 04:00:00,"11/03","N",20,25,31,2.50,4.00,"NNW",1.90,9
"10Apr2001_02.tab",11/4/2001 07:00:00,"11/06","N",18,22,27,2.50,4.00,"NW",2.00,9
"10Apr2001_02.tab",11/4/2001 10:00:00,"11/09","NNW",14,17,21,2.40,3.80,"NW",2.20,9
"10Apr2001_02.tab",11/4/2001 13:00:00,"11/12","NW",12,15,18,2.30,3.70,"NW",2.20,9
"10Apr2001_02.tab",11/4/2001 16:00:00,"11/15","NW",10,12,15,2.30,3.70,"NW",2.30,9
"10Apr2001_02.tab",11/4/2001 19:00:00,"11/18","NNW",12,15,18,2.30,3.70,"NW",2.30,9
"10Apr2001_02.tab",11/4/2001 22:00:00,"11/21","N",16,20,25,2.30,3.70,"NW",2.30,9
"10Apr2001_02.tab",12/4/2001 01:00:00,"12/00","NNE",22,27,33,2.60,4.20,"NW",2.20,9
"10Apr2001_02.tab",12/4/2001 04:00:00,"12/03","NNE",24,30,37,2.70,4.30,"NW",2.10,9
"10Apr2001_02.tab",12/4/2001 07:00:00,"12/06","NNE",22,27,33,2.70,4.30,"NNW",2.00,9
"10Apr2001_02.tab",12/4/2001 10:00:00,"12/09","NNE",20,25,31,2.70,4.30,"NNW",2.00,9
"10Apr2001_02.tab",12/4/2001 13:00:00,"12/12","NNE",20,25,31,2.70,4.30,"N",2.20,9
"10Apr2001_02.tab",12/4/2001 16:00:00,"12/15","NNE",18,22,27,2.70,4.30,"N",2.40,9
"10Apr2001_02.tab",12/4/2001 19:00:00,"12/18","NE",16,20,25,2.70,4.30,"N",2.50,9
"10Apr2001_02.tab",12/4/2001 22:00:00,"12/21","NE",14,17,21,2.60,4.20,"N",2.50,9
"10Apr2001_02.tab",13/4/2001 01:00:00,"13/00","NE",12,15,18,2.50,4.00,"N",2.40,9
"10Apr2001_14.tab",10/4/2001 19:00:00,"10/18","NNE",20,25,31,2.20,3.50,"NNW",1.70,7
"10Apr2001_14.tab",10/4/2001 22:00:00,"10/21","NNE",22,27,33,2.40,3.80,"N",1.80,7
"10Apr2001_14.tab",11/4/2001 01:00:00,"11/00","N",21,26,32,2.50,4.00,"NNW",1.90,8
"10Apr2001_14.tab",11/4/2001 04:00:00,"11/03","N",20,25,31,2.60,4.20,"NNW",2.00,9
"10Apr2001_14.tab",11/4/2001 07:00:00,"11/06","N",18,22,28,2.60,4.20,"NNW",2.20,10
"10Apr2001_14.tab",11/4/2001 10:00:00,"11/09","N",16,20,24,2.60,4.20,"NNW",2.30,11
"10Apr2001_14.tab",11/4/2001 13:00:00,"11/12","N",14,17,21,2.60,4.20,"NW",2.40,11
"10Apr2001_14.tab",11/4/2001 16:00:00,"11/15","NNW",9,11,14,2.50,4.00,"NW",2.40,10
"10Apr2001_14.tab",11/4/2001 19:00:00,"11/18","WNW",7,8,10,2.40,3.80,"NW",2.40,10
"10Apr2001_14.tab",11/4/2001 22:00:00,"11/21","WNW",7,8,10,2.40,3.80,"NW",2.40,10
"10Apr2001_14.tab",12/4/2001 01:00:00,"12/00","N",8,10,12,2.50,4.00,"NW",2.40,10
"10Apr2001_14.tab",12/4/2001 04:00:00,"12/03","N",11,13,17,2.50,4.00,"NNW",2.50,10
"10Apr2001_14.tab",12/4/2001 07:00:00,"12/06","NNE",13,16,20,2.70,4.30,"NNW",2.50,10
"10Apr2001_14.tab",12/4/2001 10:00:00,"12/09","NNE",15,18,23,2.80,4.50,"NNW",2.60,10
"10Apr2001_14.tab",12/4/2001 13:00:00,"12/12","NE",17,21,26,2.80,4.50,"NNW",2.50,9
"10Apr2001_14.tab",12/4/2001 16:00:00,"12/15","ENE",16,20,24,2.80,4.50,"N",2.40,9
"10Apr2001_14.tab",12/4/2001 19:00:00,"12/18","ENE",14,17,21,2.70,4.30,"N",2.40,9
"10Apr2001_14.tab",12/4/2001 22:00:00,"12/21","ENE",11,13,17,2.60,4.20,"N",2.50,9
"10Apr2001_14.tab",13/4/2001 01:00:00,"13/00","ENE",9,11,14,2.40,3.80,"N",2.40,9
"10Apr2001_14.tab",13/4/2001 04:00:00,"13/03","E",8,10,12,2.30,3.70,"N",2.30,9
"10Apr2001_14.tab",13/4/2001 07:00:00,"13/06","ESE",8,10,12,2.20,3.50,"N",2.20,8
"10Apr2001_14.tab",13/4/2001 10:00:00,"13/09","SE",9,11,14,2.10,3.40,"N",2.00,8
