"filename","starttime","forecasttime","ftype"
"10Apr2001_02.tab",10/4/2001 07:00:00,10/4/2001 04:00:00,"normal"
"10Apr2001_14.tab",10/4/2001 19:00:00,10/4/2001 13:00:00,"normal"
"10Apr2002_03.tab",10/4/2002 07:00:00,10/4/2002 04:00:00,"normal"
"10Apr2002_14.tab",10/4/2002 19:00:00,10/4/2002 13:00:00,"normal"
"10Aug2000_11.tab",10/8/2000 19:00:00,10/8/2000 13:00:00,"normal"
"10Aug2000_23.tab",11/8/2000 07:00:00,11/8/2000 04:00:00,"normal"
"10Aug2001_13.tab",10/8/2001 19:00:00,10/8/2001 13:00:00,"normal"
"10Dec2001_02.tab",10/12/2001 06:00:00,10/12/2001 03:00:00,"normal"
"10Dec2001_13.tab",10/12/2001 18:00:00,10/12/2001 12:00:00,"normal"
"10Feb2002_04.tab",10/2/2002 06:00:00,10/2/2002 03:00:00,"normal"
"10Feb2002_13.tab",10/2/2002 18:00:00,10/2/2002 12:00:00,"normal"
"10Jan2001_02.tab",10/1/2001 06:00:00,10/1/2001 03:00:00,"normal"
"10Jan2001_12.tab",10/1/2001 18:00:00,10/1/2001 12:00:00,"normal"
"10Jul2000.tab",11/7/2000 07:00:00,11/7/2000 04:00:00,"normal"
"10Jul2001_03.tab",10/7/2001 07:00:00,10/7/2001 04:00:00,"normal"
"10Jul2001_15.tab",10/7/2001 19:00:00,10/7/2001 13:00:00,"normal"
"10Jun2000.tab",11/6/2000 07:00:00,11/6/2000 04:00:00,"normal"
"10Mar2001_03.tab",10/3/2001 06:00:00,10/3/2001 03:00:00,"normal"
"10Mar2001_15.tab",10/3/2001 18:00:00,10/3/2001 12:00:00,"normal"
"10Mar2002_04.tab",10/3/2002 06:00:00,10/3/2002 03:00:00,"normal"
"10Mar2002_13.tab",10/3/2002 18:00:00,10/3/2002 12:00:00,"normal"
"10May2001_02.tab",10/5/2001 07:00:00,10/5/2001 04:00:00,"normal"
"10May2001_13.tab",10/5/2001 19:00:00,10/5/2001 13:00:00,"normal"
"10May2002_03.tab",10/5/2002 07:00:00,10/5/2002 04:00:00,"normal"
"10Nov2000_02.tab",10/11/2000 06:00:00,10/11/2000 03:00:00,"normal"
"10Nov2000_16.tab",10/11/2000 18:00:00,10/11/2000 12:00:00,"normal"
"10Nov2001_02.tab",10/11/2001 06:00:00,10/11/2001 03:00:00,"normal"
"10Nov2001_14.tab",10/11/2001 18:00:00,10/11/2001 12:00:00,"normal"
"10Oct2000_02.tab",10/10/2000 07:00:00,10/10/2000 04:00:00,"normal"
"10Oct2000_16.tab",10/10/2000 19:00:00,10/10/2000 13:00:00,"normal"
"10Oct2001_05.tab",10/10/2001 07:00:00,10/10/2001 04:00:00,"normal"
"10Oct2001_14.tab",10/10/2001 19:00:00,10/10/2001 13:00:00,"normal"
"10Sep2000_02.tab",10/9/2000 07:00:00,10/9/2000 04:00:00,"normal"
"10Sep2000_13.tab",10/9/2000 19:00:00,10/9/2000 13:00:00,"normal"
"10Sep2000_14.tab",10/9/2000 19:00:00,10/9/2000 13:00:00,"duplicate"
"10Sep2001_02.tab",10/9/2001 07:00:00,10/9/2001 04:00:00,"normal"
