"forecast","AMPM","author","Section","Index","phrasep","timephrase","matchCount","matchQuality","matchTime"
"10Apr2001_02.prn","AM","F3","2",0,0,"null",0,0,-99
"10Apr2001_02.prn","AM","F3","2",1,0,"null",6,1,12
"10Apr2001_02.prn","AM","F3","3",0,0,"null",2,2,0
"10Apr2001_02.prn","AM","F3","3",1,1,"by mid afternoon",2,2,15
"10Apr2001_02.prn","AM","F3","3",2,1,"by late evening",2,2,0
"10Apr2001_02.prn","AM","F3","4",0,0,"null",3,2,3
"10Apr2001_02.prn","AM","F3","4",1,1,"soon",3,2,3
"10Apr2001_02.prn","AM","F3","4",2,1,"by late evening",2,2,0
"10Apr2002_05.prn","AM","F3","2",0,0,"null",2,2,6
"10Apr2002_05.prn","AM","F3","2",1,1,"by late evening",2,2,0
"10Apr2002_05.prn","AM","F3","3",0,0,"null",2,2,0
"10Apr2002_05.prn","AM","F3","3",1,1,"soon",2,2,9
"10Apr2002_05.prn","AM","F3","3",2,1,"by evening",2,2,21
"10Apr2002_05.prn","AM","F3","4",0,1,"soon",1,3,3
"10Apr2002_05.prn","AM","F3","4",1,1,"by mid afternoon",2,2,15
"10Apr2002_05.prn","AM","F3","4",2,1,"late evening",1,3,0
"10Apr2002_14.prn","PM","F4","2",0,0,"null",0,0,-99
"10Apr2002_14.prn","PM","F4","2",1,1,"by midnight",1,3,0
"10Apr2002_14.prn","PM","F4","2",2,1,"by morning",1,3,6
"10Apr2002_14.prn","PM","F4","3",0,0,"null",3,1,6
"10Apr2002_14.prn","PM","F4","3",1,1,"by midday",3,2,12
"10Apr2002_14.prn","PM","F4","3",2,1,"by evening",1,3,18
"10Apr2002_14.prn","PM","F4","3",3,1,"later",1,3,0
"10Apr2002_14.prn","PM","F4","4",0,0,"null",1,3,0
"10Apr2002_14.prn","PM","F4","4",1,1,"by midday",4,2,12
"10Apr2002_14.prn","PM","F4","4",2,1,"by midnight",2,2,0
"10Aug2000_13.prn","PM","F2","2",0,0,"null",0,0,-99
"10Aug2000_13.prn","PM","F2","2",1,0,"null",0,0,-99
"10Aug2000_13.prn","PM","F2","3",0,0,"null",0,0,-99
"10Aug2000_13.prn","PM","F2","3",1,0,"null",0,0,-99
"10Aug2000_13.prn","PM","F2","4",0,0,"null",1,3,3
"10Aug2000_13.prn","PM","F2","4",1,1,"by evening",0,0,-99
"10Aug2001_13.prn","PM","F4","2",0,0,"null",0,0,-99
"10Aug2001_13.prn","PM","F4","2",1,1,"by midnight",2,1,21
"10Aug2001_13.prn","PM","F4","2",2,1,"by morning",2,1,3
"10Aug2001_13.prn","PM","F4","3",0,0,"null",1,3,9
"10Aug2001_13.prn","PM","F4","3",1,1,"by end of period",1,3,0
"10Aug2001_13.prn","PM","F4","4",0,0,"null",2,1,0
"10Aug2001_13.prn","PM","F4","4",1,1,"by late morning",4,2,9
"10Aug2001_13.prn","PM","F4","4",2,1,"later",1,3,0
"10Dec2001_02.prn","AM","F3","2",0,0,"null",3,1,6
"10Dec2001_02.prn","AM","F3","2",1,1,"by midday",7,2,12
"10Dec2001_02.prn","AM","F3","3",0,0,"null",9,1,15
"10Dec2001_02.prn","AM","F3","3",1,1,"in evening",4,2,0
"10Dec2001_02.prn","AM","F3","4",0,0,"null",1,3,0
"10Dec2001_02.prn","AM","F3","4",1,1,"by mid afternoon",4,1,15
"10Dec2001_13.prn","PM","F2","2",0,0,"null",1,3,6
"10Dec2001_13.prn","PM","F2","3",0,0,"null",2,2,6
"10Dec2001_13.prn","PM","F2","4",0,0,"null",3,2,0
"10Dec2001_13.prn","PM","F2","4",1,0,"null",1,3,0
"10Feb2002_04.prn","AM","F4","2",0,0,"null",2,2,6
"10Feb2002_04.prn","AM","F4","2",1,1,"by midday",2,2,12
"10Feb2002_04.prn","AM","F4","2",2,1,"by mid evening",2,1,21
"10Feb2002_04.prn","AM","F4","3",0,0,"null",1,3,0
"10Feb2002_04.prn","AM","F4","3",1,1,"soon",1,3,6
"10Feb2002_04.prn","AM","F4","3",2,1,"by afternoon",1,3,15
"10Feb2002_04.prn","AM","F4","3",3,1,"by end of period",1,3,0
"10Feb2002_04.prn","AM","F4","4",0,0,"null",3,1,3
